"year","country","shape","value"
1991,"USA","circle",19
1992,"USA","circle",15
1993,"USA","circle",19
1994,"USA","circle",25
1995,"USA","circle",34
1996,"USA","circle",24
1997,"USA","circle",61
1998,"USA","circle",110
1999,"USA","circle",187
2000,"USA","circle",206
2001,"USA","circle",213
2002,"USA","circle",218
2003,"USA","circle",289
2004,"USA","circle",273
2005,"USA","circle",290
2006,"USA","circle",290
2007,"USA","circle",370
2008,"USA","circle",353
2009,"USA","circle",381
2010,"USA","circle",376
2011,"USA","circle",490
2012,"USA","circle",817
2013,"USA","circle",856
2014,"USA","circle",262
1999,"VEN","circle",1
2007,"VEN","circle",1
2012,"VEN","circle",1
1995,"VIR","circle",1
1966,"VNM","circle",1
1968,"VNM","circle",1
2001,"ZAF","circle",1
2003,"ZAF","circle",1
2004,"ZAF","circle",2
2006,"ZAF","circle",1
2007,"ZAF","circle",1
2009,"ZAF","circle",2
2011,"ZAF","circle",1
2012,"ZAF","circle",5
2013,"ZAF","circle",1
2014,"ZAF","circle",1
2009,"ZWE","circle",1
1992,"AUS","cone",1
1997,"AUS","cone",1
2001,"AUS","cone",2
2002,"AUS","cone",2
2005,"AUS","cone",1
2013,"AUS","cone",1
1998,"BHS","cone",1
2005,"BOL","cone",1
1997,"CAN","cone",1
1998,"CAN","cone",1
1999,"CAN","cone",1
2001,"CAN","cone",1
2002,"CAN","cone",2
2003,"CAN","cone",1
2005,"CAN","cone",3
2008,"CAN","cone",1
2009,"CAN","cone",1
2011,"CAN","cone",1
2012,"CAN","cone",1
2013,"CAN","cone",1
2012,"CRI","cone",1
2011,"CYP","cone",1
1998,"EGY","cone",1
2004,"FRA","cone",1
1995,"GBR","cone",1
1999,"GBR","cone",1
2001,"GBR","cone",1
2002,"GBR","cone",1
2003,"GBR","cone",2
2004,"GBR","cone",2
2008,"GBR","cone",2
2009,"GBR","cone",1
2012,"GBR","cone",1
2013,"GBR","cone",1
2011,"GRC","cone",1
2006,"IND","cone",1
2012,"IND","cone",1
2004,"IRL","cone",1
2007,"IRL","cone",1
2013,"IRL","cone",1
2008,"IRQ","cone",1
2014,"KEN","cone",1
2012,"LKA","cone",1
2008,"MEX","cone",1
2003,"NOR","cone",1
2001,"NZL","cone",1
2002,"PAK","cone",1
2004,"PHL","cone",2
2001,"PRT","cone",1
2005,"ROU","cone",1
1968,"USA","cone",1
1973,"USA","cone",1
1974,"USA","cone",1
1975,"USA","cone",2
1977,"USA","cone",1
1978,"USA","cone",1
1981,"USA","cone",1
1984,"USA","cone",1
1986,"USA","cone",1
1988,"USA","cone",2
1992,"USA","cone",1
1995,"USA","cone",5
1996,"USA","cone",3
1997,"USA","cone",1
1998,"USA","cone",12
1999,"USA","cone",8
2000,"USA","cone",13
2001,"USA","cone",19
2002,"USA","cone",14
2003,"USA","cone",13
2004,"USA","cone",11
2005,"USA","cone",10
2006,"USA","cone",13
2007,"USA","cone",17
2008,"USA","cone",15
2009,"USA","cone",24
2010,"USA","cone",15
2011,"USA","cone",14
2012,"USA","cone",25
2013,"USA","cone",27
2014,"USA","cone",6
1999,"AUS","cross",1
2000,"AUS","cross",1
2002,"AUS","cross",1
2007,"BRA","cross",1
1979,"CAN","cross",1
1999,"CAN","cross",1
2003,"CAN","cross",4
2005,"CAN","cross",1
2012,"CAN","cross",2
2009,"FRA","cross",1
1996,"GBR","cross",1
2001,"GBR","cross",1
2002,"GBR","cross",1
2004,"GBR","cross",1
2005,"GBR","cross",2
2006,"GBR","cross",2
2008,"GBR","cross",1
2014,"GBR","cross",1
2002,"GRC","cross",1
2010,"ITA","cross",1
2004,"MEX","cross",1
2005,"MEX","cross",1
2013,"MEX","cross",1
2008,"NLD","cross",1
2004,"PER","cross",1
2006,"PRI","cross",1
1971,"USA","cross",1
1974,"USA","cross",1
1976,"USA","cross",1
1979,"USA","cross",1
1988,"USA","cross",2
1993,"USA","cross",1
1995,"USA","cross",2
1996,"USA","cross",3
1997,"USA","cross",3
1998,"USA","cross",5
1999,"USA","cross",3
2000,"USA","cross",7
2001,"USA","cross",7
2002,"USA","cross",11
2003,"USA","cross",14
2004,"USA","cross",12
2005,"USA","cross",8
2006,"USA","cross",8
2007,"USA","cross",8
2008,"USA","cross",14
2009,"USA","cross",14
2010,"USA","cross",16
2011,"USA","cross",13
2012,"USA","cross",21
2013,"USA","cross",27
2014,"USA","cross",10
2014,"ZAF","cross",1
2000,"AFG","cylinder",1
2010,"ARE","cylinder",1
1997,"AUS","cylinder",1
1999,"AUS","cylinder",1
2001,"AUS","cylinder",3
2002,"AUS","cylinder",2
2003,"AUS","cylinder",2
2007,"AUS","cylinder",1
2008,"AUS","cylinder",1
1971,"BRA","cylinder",1
1978,"BRA","cylinder",1
1990,"BRA","cylinder",1
2002,"BRA","cylinder",1
2002,"BRB","cylinder",1
1973,"CAN","cylinder",2
1974,"CAN","cylinder",1
1987,"CAN","cylinder",1
1996,"CAN","cylinder",1
1998,"CAN","cylinder",1
1999,"CAN","cylinder",2
2000,"CAN","cylinder",4
2001,"CAN","cylinder",7
2002,"CAN","cylinder",2
2003,"CAN","cylinder",11
2004,"CAN","cylinder",1
2005,"CAN","cylinder",4
2006,"CAN","cylinder",3
2007,"CAN","cylinder",1
2008,"CAN","cylinder",2
2009,"CAN","cylinder",3
2010,"CAN","cylinder",4
2011,"CAN","cylinder",3
2012,"CAN","cylinder",3
2013,"CAN","cylinder",5
2005,"CHL","cylinder",1
1999,"CHN","cylinder",1
1982,"DEU","cylinder",1
1986,"DEU","cylinder",1
1996,"DEU","cylinder",1
2010,"DEU","cylinder",1
2013,"DEU","cylinder",1
2000,"DNK","cylinder",1
2014,"ESP","cylinder",1
2012,"FRA","cylinder",1
1974,"GBR","cylinder",1
