"unique.id";"datetime";"country";"Year";"WeekDay";"Hour"
305;1999-10-11 20:15:00;"USA";"1999";"Seg";"20"
306;1999-10-11 20:15:00;"USA";"1999";"Seg";"20"
307;1999-10-11 20:15:00;"USA";"1999";"Seg";"20"
308;1999-10-11 20:15:00;"USA";"1999";"Seg";"20"
309;1999-10-11 20:35:00;"USA";"1999";"Seg";"20"
310;1999-10-11 21:00:00;"USA";"1999";"Seg";"21"
311;1999-10-11 21:10:00;"USA";"1999";"Seg";"21"
312;1999-10-11 21:30:00;"USA";"1999";"Seg";"21"
313;1999-10-11 21:30:00;"USA";"1999";"Seg";"21"
314;1999-10-11 21:45:00;"USA";"1999";"Seg";"21"
315;1999-10-11 22:30:00;"USA";"1999";"Seg";"22"
316;2000-10-11 19:30:00;"GBR";"2000";"Qua";"19"
317;2000-10-11 20:00:00;"USA";"2000";"Qua";"20"
318;2000-10-11 22:00:00;"USA";"2000";"Qua";"22"
319;2000-10-11 22:09:00;"GBR";"2000";"Qua";"22"
320;2000-10-11 23:30:00;"USA";"2000";"Qua";"23"
321;2001-10-11 01:00:00;"USA";"2001";"Qui";"01"
322;2001-10-11 02:15:00;"USA";"2001";"Qui";"02"
323;2001-10-11 05:15:00;"USA";"2001";"Qui";"05"
324;2001-10-11 08:15:00;"USA";"2001";"Qui";"08"
325;2001-10-11 20:35:00;"USA";"2001";"Qui";"20"
326;2001-10-11 23:49:00;"USA";"2001";"Qui";"23"
327;2002-10-11 06:17:00;"USA";"2002";"Sex";"06"
328;2002-10-11 13:25:00;"USA";"2002";"Sex";"13"
329;2002-10-11 16:15:00;"USA";"2002";"Sex";"16"
330;2002-10-11 20:36:00;"USA";"2002";"Sex";"20"
331;2003-10-11 00:00:00;"USA";"2003";"Sáb";"00"
332;2003-10-11 00:20:00;"USA";"2003";"Sáb";"00"
333;2003-10-11 01:29:00;"USA";"2003";"Sáb";"01"
334;2003-10-11 03:00:00;"USA";"2003";"Sáb";"03"
335;2003-10-11 11:32:00;"USA";"2003";"Sáb";"11"
336;2003-10-11 13:00:00;"USA";"2003";"Sáb";"13"
337;2003-10-11 19:05:00;"USA";"2003";"Sáb";"19"
338;2003-10-11 20:00:00;"USA";"2003";"Sáb";"20"
339;2003-10-11 20:30:00;"USA";"2003";"Sáb";"20"
340;2003-10-11 22:40:00;"USA";"2003";"Sáb";"22"
341;2004-10-11 01:00:00;"USA";"2004";"Seg";"01"
342;2004-10-11 02:37:00;"USA";"2004";"Seg";"02"
343;2004-10-11 03:40:00;"USA";"2004";"Seg";"03"
344;2004-10-11 04:15:00;"USA";"2004";"Seg";"04"
345;2004-10-11 05:00:00;"USA";"2004";"Seg";"05"
346;2004-10-11 10:00:00;"MEX";"2004";"Seg";"10"
347;2004-10-11 11:00:00;"USA";"2004";"Seg";"11"
348;2004-10-11 14:00:00;"USA";"2004";"Seg";"14"
349;2004-10-11 18:00:00;"USA";"2004";"Seg";"18"
350;2004-10-11 22:29:00;"USA";"2004";"Seg";"22"
351;2004-10-11 22:30:00;"USA";"2004";"Seg";"22"
352;2004-10-11 23:00:00;"USA";"2004";"Seg";"23"
353;2004-10-11 23:15:00;"USA";"2004";"Seg";"23"
354;2005-10-11 00:00:00;"GBR";"2005";"Ter";"00"
355;2005-10-11 00:00:00;"USA";"2005";"Ter";"00"
356;2005-10-11 03:00:00;"USA";"2005";"Ter";"03"
357;2005-10-11 16:36:00;"USA";"2005";"Ter";"16"
358;2005-10-11 18:45:00;"USA";"2005";"Ter";"18"
359;2005-10-11 19:00:00;"USA";"2005";"Ter";"19"
360;2005-10-11 19:00:00;"USA";"2005";"Ter";"19"
361;2005-10-11 19:30:00;"USA";"2005";"Ter";"19"
362;2005-10-11 19:45:00;"USA";"2005";"Ter";"19"
363;2005-10-11 21:00:00;"USA";"2005";"Ter";"21"
364;2005-10-11 21:00:00;"USA";"2005";"Ter";"21"
365;2005-10-11 21:50:00;"GBR";"2005";"Ter";"21"
366;2006-10-11 01:25:00;"USA";"2006";"Qua";"01"
367;2006-10-11 11:29:00;"USA";"2006";"Qua";"11"
368;2006-10-11 19:00:00;"USA";"2006";"Qua";"19"
369;2006-10-11 19:30:00;"USA";"2006";"Qua";"19"
370;2006-10-11 20:45:00;"USA";"2006";"Qua";"20"
371;2006-10-11 21:00:00;"USA";"2006";"Qua";"21"
372;2006-10-11 21:20:00;"GBR";"2006";"Qua";"21"
373;2006-10-11 21:32:00;"USA";"2006";"Qua";"21"
374;2006-10-11 22:00:00;"USA";"2006";"Qua";"22"
375;2006-10-11 23:00:00;"USA";"2006";"Qua";"23"
376;2006-10-11 00:00:00;"USA";"2006";"Qua";"00"
377;2007-10-11 04:40:00;"USA";"2007";"Qui";"04"
378;2007-10-11 10:10:00;"USA";"2007";"Qui";"10"
379;2007-10-11 16:00:00;"USA";"2007";"Qui";"16"
380;2007-10-11 19:28:00;"AUS";"2007";"Qui";"19"
381;2007-10-11 19:50:00;"USA";"2007";"Qui";"19"
382;2007-10-11 20:00:00;"USA";"2007";"Qui";"20"
383;2007-10-11 20:15:00;"USA";"2007";"Qui";"20"
384;2007-10-11 20:30:00;"USA";"2007";"Qui";"20"
385;2007-10-11 23:00:00;"GBR";"2007";"Qui";"23"
386;2008-10-11 00:00:00;"AUT";"2008";"Sáb";"00"
387;2008-10-11 02:35:00;"USA";"2008";"Sáb";"02"
388;2008-10-11 04:30:00;"USA";"2008";"Sáb";"04"
389;2008-10-11 06:00:00;"USA";"2008";"Sáb";"06"
390;2008-10-11 13:00:00;"USA";"2008";"Sáb";"13"
391;2008-10-11 17:30:00;"AUS";"2008";"Sáb";"17"
392;2008-10-11 19:00:00;"USA";"2008";"Sáb";"19"
393;2008-10-11 19:00:00;"USA";"2008";"Sáb";"19"
394;2008-10-11 19:00:00;"USA";"2008";"Sáb";"19"
395;2008-10-11 19:30:00;"USA";"2008";"Sáb";"19"
396;2008-10-11 20:30:00;"USA";"2008";"Sáb";"20"
397;2008-10-11 22:20:00;"USA";"2008";"Sáb";"22"
398;2008-10-11 22:30:00;"USA";"2008";"Sáb";"22"
399;2009-10-11 02:45:00;"USA";"2009";"Dom";"02"
400;2009-10-11 04:00:00;"USA";"2009";"Dom";"04"
401;2009-10-11 04:45:00;"CAN";"2009";"Dom";"04"
402;2009-10-11 09:45:00;"USA";"2009";"Dom";"09"
403;2009-10-11 12:30:00;"USA";"2009";"Dom";"12"
404;2009-10-11 18:00:00;"USA";"2009";"Dom";"18"
405;2009-10-11 18:00:00;"USA";"2009";"Dom";"18"
406;2009-10-11 18:05:00;"USA";"2009";"Dom";"18"
407;2009-10-11 19:00:00;"USA";"2009";"Dom";"19"
408;2009-10-11 19:50:00;"USA";"2009";"Dom";"19"
409;2009-10-11 21:55:00;"USA";"2009";"Dom";"21"
410;2010-10-11 00:30:00;"USA";"2010";"Seg";"00"
411;2010-10-11 04:50:00;"USA";"2010";"Seg";"04"
412;2010-10-11 06:20:00;"USA";"2010";"Seg";"06"
413;2010-10-11 12:30:00;"USA";"2010";"Seg";"12"
414;2010-10-11 19:40:00;"USA";"2010";"Seg";"19"
415;2010-10-11 20:50:00;"USA";"2010";"Seg";"20"
416;2010-10-11 20:53:00;"USA";"2010";"Seg";"20"
417;2010-10-11 21:35:00;"USA";"2010";"Seg";"21"
418;2011-10-11 03:15:00;"USA";"2011";"Ter";"03"
419;2011-10-11 08:40:00;"USA";"2011";"Ter";"08"
420;2011-10-11 15:00:00;"USA";"2011";"Ter";"15"
421;2011-10-11 19:40:00;"USA";"2011";"Ter";"19"
422;2011-10-11 19:42:00;"USA";"2011";"Ter";"19"
423;2011-10-11 21:00:00;"USA";"2011";"Ter";"21"
424;2011-10-11 21:10:00;"USA";"2011";"Ter";"21"
425;2011-10-11 23:23:00;"USA";"2011";"Ter";"23"
426;2012-10-11 01:00:00;"USA";"2012";"Qui";"01"
427;2012-10-11 02:45:00;"USA";"2012";"Qui";"02"
428;2012-10-11 04:00:00;"USA";"2012";"Qui";"04"
429;2012-10-11 04:05:00;"USA";"2012";"Qui";"04"
