Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.19391210798222303,0.554448785657479,0.9046809032626009,1.9438763878457799,3.3791231954056604,4.9408777835035,8.35771143055343,11.8222968144436,14.9761847218461,16.8911922859142,19.4889586933704,22.3448525653783,24.4938786960068,27.724047406196103,31.9269499652323,35.7431661251675,42.4288614204559,42.854068730445796,45.580822372068006,48.631683483622204,50.849633163755506,53.747351613498104,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,9.17e-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.0797517220000001,3.770585038,5.241269054,8.407984759,9.738062207999999,11.15960131,11.69,12.94,14.33,15.9,16.017290799999998,21.2,27.93,29.07018437,37.30509742,38.76586728,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85551074,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,3.948967193,,,,,,,,,,38.03438308,44.5,52.0,61.0,64.5,66.0,69.46594499,69.7,71.4,74.1,77.0,79.0,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.05006043,0.056367482000000003,0.111034621,0.410120685,0.6733435409999999,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.90036019,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.581319529,1.2592178379999999,1.45357584,1.9403781930000001,2.915698695,3.895906065,6.832802018,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.48120138,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.8377377540000002,3.054805234,6.711087477,9.877852427999999,20.84598264,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78.0,79.0,82.0,81.26999954,82.34999847,84.17,86.19,87.5898,89.64710059,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.34352626299999994,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4.0,6.5,7.0,8.267232892,9.5,10.71,11.92243143,13.13491511,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.548762737,1.165518146,,2.9253451910000003,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.398174299999994,40.27446301,41.16,42.02,47.45,48.6,49.8,51.0,57.5,65.0,67.03,
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09727726800000001,0.194056515,0.38691395100000003,0.578329976,1.34430775,3.82565642,5.714987841,11.38200494,22.66874615,30.59204065,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525,
