"year","country","value"
2004,"CAN",65.95596346
2005,"CAN",71.66
2006,"CAN",72.4
2007,"CAN",73.2
2008,"CAN",76.7
2009,"CAN",80.3
2010,"CAN",80.3
2011,"CAN",83.0
2012,"CAN",83.0
2013,"CAN",85.8
2014,"CAN",87.12
2015,"CAN",88.47
2016,"CAN",89.84
1990,"CEB",0.0
1991,"CEB",0
1992,"CEB",0
1993,"CEB",0.148650057833134
1994,"CEB",0.38928487026973607
1995,"CEB",0.621930637874331
1996,"CEB",1.06819515317938
1997,"CEB",1.79009341538276
1998,"CEB",3.5115639019918596
1999,"CEB",4.959357017385139
2000,"CEB",7.0376502069315805
2001,"CEB",10.215365127314499
2002,"CEB",18.194171915119604
2003,"CEB",22.5126441012438
2004,"CEB",29.1504442319344
2005,"CEB",34.647293217762396
2006,"CEB",40.6587637475186
2007,"CEB",45.1142814939245
2008,"CEB",50.48331469867001
2009,"CEB",54.8702244711506
2010,"CEB",58.3501669587243
2011,"CEB",58.857392135160396
2012,"CEB",61.509548771110204
2013,"CEB",63.2909720670007
2014,"CEB",66.3278506484822
2015,"CEB",67.2013683742247
2016,"CEB",71.18731468358949
1990,"CHE",0.595714223
1991,"CHE",1.17995597
1992,"CHE",1.7517133219999999
1993,"CHE",2.167270203
1994,"CHE",2.7200043289999996
1995,"CHE",3.5520072110000003
1996,"CHE",4.549656748
1997,"CHE",15.1
1998,"CHE",24.8
1999,"CHE",34.0
2000,"CHE",47.1
2001,"CHE",55.1
2002,"CHE",61.4
2003,"CHE",65.1
2004,"CHE",67.8
2005,"CHE",70.1
2006,"CHE",75.7
2007,"CHE",77.2
2008,"CHE",79.2
2009,"CHE",81.3
2010,"CHE",83.9
2011,"CHE",85.19302818
2012,"CHE",85.2
2013,"CHE",86.34
2014,"CHE",87.4
2015,"CHE",87.4790556
2016,"CHE",89.4055681
1990,"CHL",0.0
1991,"CHL",0
1992,"CHL",0.036548937999999996
1993,"CHL",0.07178314400000001
1994,"CHL",0.141084507
1995,"CHL",0.346980781
1996,"CHL",0.68347561
1997,"CHL",1.0570924959999999
1998,"CHL",1.662322022
1999,"CHL",4.103419297
2000,"CHL",16.6
2001,"CHL",19.1
2002,"CHL",22.1
2003,"CHL",25.47377889
2004,"CHL",28.17791012
2005,"CHL",31.17534703
2006,"CHL",34.49775117
2007,"CHL",35.9
2008,"CHL",37.3
2009,"CHL",41.56
2010,"CHL",45.0
2011,"CHL",52.24960729
2012,"CHL",55.05
2013,"CHL",58.0
2014,"CHL",61.11
2015,"CHL",64.289
2016,"CHL",66.01
1990,"CHN",0.0
1991,"CHN",0
1992,"CHN",0
1993,"CHN",0.00016868
1994,"CHN",0.001168115
1995,"CHN",0.00495471
1996,"CHN",0.013081691999999999
1997,"CHN",0.032394861000000004
1998,"CHN",0.168540297
1999,"CHN",0.708187957
2000,"CHN",1.7759132069999999
2001,"CHN",2.639650215
2002,"CHN",4.595704331
2003,"CHN",6.2
2004,"CHN",7.3
2005,"CHN",8.523257003
2006,"CHN",10.52315262
2007,"CHN",16.0
2008,"CHN",22.6
2009,"CHN",28.9
2010,"CHN",34.3
2011,"CHN",38.3
2012,"CHN",42.30011749
2013,"CHN",45.8
2014,"CHN",47.9
2015,"CHN",50.3
2016,"CHN",53.2
1990,"CIV",0.0
1991,"CIV",0
1992,"CIV",0
1993,"CIV",0
1994,"CIV",0
1995,"CIV",0.00020025599999999997
1996,"CIV",0.00840978
1997,"CIV",0.018828361000000002
1998,"CIV",0.060974439000000005
1999,"CIV",0.11868591699999999
2000,"CIV",0.231461671
2001,"CIV",0.39574770200000003
2002,"CIV",0.497929361
2003,"CIV",0.758669629
2004,"CIV",0.849282415
2005,"CIV",1.039238205
2006,"CIV",1.5249007909999999
2007,"CIV",1.8
