release_date;title;Year;Month;Day
2009-05-26;The Devil's Tomb                                              ; 2009; 5; 26
2015-10-16;Re-Kill                                                       ; 2015; 10; 16
1981-08-07;Heavy Metal                                                   ; 1981; 8; 7
2011-05-26;Melancholia                                                   ; 2011; 5; 26
1979-05-25;Alien                                                         ; 1979; 5; 25
2011-03-16;Detention                                                     ; 2011; 3; 16
1984-03-16;The Ice Pirates                                               ; 1984; 3; 16
2010-12-10;Ultramarines: A Warhammer 40,000 Movie                        ; 2010; 12; 10
2004-01-15;The I Inside                                                  ; 2004; 1; 15
2005-03-21;Star Wars: Clone Wars: Volume 1                               ; 2005; 3; 21
1968-10-10;Barbarella                                                    ; 1968; 10; 10
2008-07-18;Repo! The Genetic Opera                                       ; 2008; 7; 18
2002-10-31;28 Days Later                                                 ; 2002; 10; 31
1988-07-16;Akira                                                         ; 1988; 7; 16
1989-10-19;The Blood of Heroes                                           ; 1989; 10; 19
2003-09-02;Code 46                                                       ; 2003; 9; 2
1976-06-23;Logan's Run                                                   ; 1976; 6; 23
1978-11-22;Alien Zone                                                    ; 1978; 11; 22
1992-05-01;Split Second                                                  ; 1992; 5; 1
1993-01-27;The Visitors                                                  ; 1993; 1; 27
2013-02-27;Hard to Be a God                                              ; 2013; 2; 27
2008-03-11;Stargate: The Ark of Truth                                    ; 2008; 3; 11
1971-03-12;The Andromeda Strain                                          ; 1971; 3; 12
1984-10-26;The Terminator                                                ; 1984; 10; 26
1981-05-22;Escape from New York                                          ; 1981; 5; 22
1991-06-08;Beastmaster 2: Through the Portal of Time                     ; 1991; 6; 8
1983-02-04;Videodrome                                                    ; 1983; 2; 4
1980-06-06;Galaxina                                                      ; 1980; 6; 6
2012-08-10;Grabbers                                                      ; 2012; 8; 10
1980-10-02;Somewhere in Time                                             ; 1980; 10; 2
2016-03-10;10 Cloverfield Lane                                           ; 2016; 3; 10
1954-12-23;20,000 Leagues Under the Sea                                  ; 1954; 12; 23
2011-07-20;Apollo 18                                                     ; 2011; 7; 20
2000-03-17;Digimon: The Movie                                            ; 2000; 3; 17
2009-06-12;Moon                                                          ; 2009; 6; 12
1982-11-10;Jekyll and Hyde ... Together Again                            ; 1982; 11; 10
2014-09-12;Atlas Shrugged Part III: Who is John Galt?                    ; 2014; 9; 12
2004-02-27;Decoys                                                        ; 2004; 2; 27
2015-05-15;Area 51                                                       ; 2015; 5; 15
1977-12-10;Capricorn One                                                 ; 1977; 12; 10
2009-09-24;Cargo                                                         ; 2009; 9; 24
2010-05-06;Survival of the Dead                                          ; 2010; 5; 6
1988-11-23;They Live                                                     ; 1988; 11; 23
2010-09-30;Stake Land                                                    ; 2010; 9; 30
2003-09-09;Nothing                                                       ; 2003; 9; 9
2012-09-19;Antiviral                                                     ; 2012; 9; 19
2013-05-31;The Purge                                                     ; 2013; 5; 31
1970-05-01;Beneath the Planet of the Apes                                ; 1970; 5; 1
