"Year";"Coutry";"WeakDay";"Hour";"x"
"1986";"USA";"Seg";"00";2
"1987";"USA";"Seg";"00";3
"1988";"USA";"Seg";"00";2
"1989";"USA";"Seg";"00";1
"1990";"USA";"Seg";"00";2
"1991";"USA";"Seg";"00";2
"1992";"USA";"Seg";"00";3
"1993";"USA";"Seg";"00";2
"1994";"USA";"Seg";"00";7
"1995";"USA";"Seg";"00";19
"1996";"USA";"Seg";"00";8
"1997";"USA";"Seg";"00";9
"1998";"USA";"Seg";"00";20
"1999";"USA";"Seg";"00";16
"2000";"USA";"Seg";"00";16
"2001";"USA";"Seg";"00";15
"2002";"USA";"Seg";"00";14
"2003";"USA";"Seg";"00";20
"2004";"USA";"Seg";"00";27
"2005";"USA";"Seg";"00";27
"2006";"USA";"Seg";"00";23
"2007";"USA";"Seg";"00";34
"2008";"USA";"Seg";"00";37
"2009";"USA";"Seg";"00";37
"2010";"USA";"Seg";"00";22
"2011";"USA";"Seg";"00";35
"2012";"USA";"Seg";"00";50
"2013";"USA";"Seg";"00";34
"2014";"USA";"Seg";"00";13
"1988";"UZB";"Seg";"00";1
"2010";"ARE";"Sex";"00";1
"2013";"ARG";"Sex";"00";1
"1962";"AUS";"Sex";"00";1
"1984";"AUS";"Sex";"00";1
"1990";"AUS";"Sex";"00";1
"1995";"AUS";"Sex";"00";1
"2005";"AUS";"Sex";"00";3
"2007";"AUS";"Sex";"00";1
"2014";"AUS";"Sex";"00";1
"2001";"BEL";"Sex";"00";1
"2004";"BEL";"Sex";"00";2
"1975";"BOL";"Sex";"00";1
"2014";"BRA";"Sex";"00";1
"1972";"CAN";"Sex";"00";2
"1973";"CAN";"Sex";"00";1
"1977";"CAN";"Sex";"00";1
"1983";"CAN";"Sex";"00";1
"1989";"CAN";"Sex";"00";1
"1994";"CAN";"Sex";"00";1
"1997";"CAN";"Sex";"00";1
"1998";"CAN";"Sex";"00";1
"1999";"CAN";"Sex";"00";3
"2000";"CAN";"Sex";"00";1
"2001";"CAN";"Sex";"00";1
"2002";"CAN";"Sex";"00";4
"2003";"CAN";"Sex";"00";3
"2004";"CAN";"Sex";"00";1
"2005";"CAN";"Sex";"00";5
"2006";"CAN";"Sex";"00";1
"2007";"CAN";"Sex";"00";3
"2008";"CAN";"Sex";"00";1
"2009";"CAN";"Sex";"00";8
"2010";"CAN";"Sex";"00";2
"2011";"CAN";"Sex";"00";2
"2012";"CAN";"Sex";"00";1
"2013";"CAN";"Sex";"00";3
"1997";"CHL";"Sex";"00";1
"2008";"CHN";"Sex";"00";1
"2005";"COL";"Sex";"00";1
"2014";"CRI";"Sex";"00";1
"2011";"CYP";"Sex";"00";1
"1991";"CZE";"Sex";"00";1
"1991";"DEU";"Sex";"00";1
"2006";"DEU";"Sex";"00";1
"2004";"ESP";"Sex";"00";1
"2005";"ESP";"Sex";"00";1
"2005";"FRA";"Sex";"00";1
"1997";"GBR";"Sex";"00";2
"1998";"GBR";"Sex";"00";1
"1999";"GBR";"Sex";"00";2
"2000";"GBR";"Sex";"00";1
"2001";"GBR";"Sex";"00";2
"2002";"GBR";"Sex";"00";5
"2004";"GBR";"Sex";"00";3
"2005";"GBR";"Sex";"00";1
"2006";"GBR";"Sex";"00";5
"2008";"GBR";"Sex";"00";4
"2009";"GBR";"Sex";"00";3
"2010";"GBR";"Sex";"00";6
"2012";"GBR";"Sex";"00";1
"2013";"GBR";"Sex";"00";1
"1979";"GRC";"Sex";"00";1
"2000";"IND";"Sex";"00";1
"2008";"IND";"Sex";"00";1
"2013";"IND";"Sex";"00";1
"2001";"IRL";"Sex";"00";1
"2010";"IRL";"Sex";"00";1
"2006";"IRN";"Sex";"00";1
"2003";"IRQ";"Sex";"00";1
"1999";"KOR";"Sex";"00";1
"1998";"MEX";"Sex";"00";1
"2003";"MEX";"Sex";"00";2
"2004";"MEX";"Sex";"00";1
"2012";"NLD";"Sex";"00";1
"2013";"NLD";"Sex";"00";1
"2008";"NOR";"Sex";"00";1
"2001";"NZL";"Sex";"00";1
"2009";"PHL";"Sex";"00";1
"1997";"PRT";"Sex";"00";1
"2002";"PRT";"Sex";"00";1
"2006";"PRT";"Sex";"00";1
"2001";"RUS";"Sex";"00";2
"2006";"RUS";"Sex";"00";1
"2013";"RUS";"Sex";"00";1
"2007";"SAU";"Sex";"00";1
"2002";"SEN";"Sex";"00";1
"2002";"SWE";"Sex";"00";1
"1962";"USA";"Sex";"00";2
"1966";"USA";"Sex";"00";2
